name,description,category,city,country,address,phone,menu_url,image_url,image_url_2,image_url_3,logo_url,tags,latitude,longitude
Afrotopia Café @ The Gallery,,Cafe,"Harare, Zimbabwe",Zimbabwe,20 Julius Nyerere Way,,,,,,,,-17.8247989,31.048681
Alo Alo Restaurant,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.7633303,31.0502892
Amanzi,,Restaurant,Harare,Zimbabwe,158 Enterprise Road,,,,,,,"outdoor_seating=yes, takeaway=yes",-17.7923369,31.1054754
Antonio's Avondale,,mediterranean,Harare,Zimbabwe,,,,,,,,"cuisine=mediterranean, takeaway=only, delivery=yes",-17.7942194,31.0337907
Aroma Cafe,,italian,Harare,Zimbabwe,167 Enterprise Road,+263 77 223 5693,https://aromacaffeharare.business.site/,,,,,cuisine=italian,-17.7864101,31.1096463
B&B Sports Bar,,Bar,Epworth,Zimbabwe,,,,,,,,,-17.9052687,31.1450886
Baker's Inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.828611,31.0467822
Bakers Peri-Peri Chicken,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8242278,31.0222605
Beach House,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.7825981,31.0873386
Bean Tree,,Cafe,Harare,Zimbabwe,,,,,,,,,-17.759919,31.088904
Beer hall,,Bar,Harare,Zimbabwe,STAND 1505 Tanga Road,,,,,,,,-17.8041079,30.9342715
Bojangles,,Restaurant,Harare,Zimbabwe,"Enterprise Road, Newlands",,,,,,,outdoor_seating=yes,-17.8097802,31.0751264
Bolero,,Pub,Harare,Zimbabwe,"Enterprise Road, Newlands",,,,,,,outdoor_seating=yes,-17.8094048,31.0756132
borehole,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8261213,30.9683325
borrowdale upstair,,Bar,Harare,Zimbabwe,Borrowdale Road,,,,,,,,-17.7804952,31.0864567
Boss Cafe,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8006302,31.035169
bottle store,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8261836,30.9683669
bowling club milton park,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8138241,31.0194626
Cafe espresso,,Cafe,Harare,Zimbabwe,,,,,,,,,-17.8075589,31.0377553
Cafe Nush,,Cafe,Harare,Zimbabwe,,,,,,,,,-17.7622763,31.0878874
Cafe Nush,,Cafe,Harare,Zimbabwe,,,,,,,,,-17.7617433,31.087369
Cafe Nush,,Restaurant,Harare,Zimbabwe,Avondale,,,,,,,,-17.8023951,31.0386391
Cafe Veldemeer,,Cafe,Harare,Zimbabwe,Quorn Avenue,,,,,,,,-17.7637798,31.0520778
Café Nush,,Cafe,Harare,Zimbabwe,,,,,,,,,-17.8025339,31.0385361
Chamboko,,Bar,Harare,Zimbabwe,,,,,,,,,-17.7753796,31.1634361
Chando Bottle Store,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8055735,30.9316454
Chang Thai,,Restaurant,Harare,Zimbabwe,83 Churchill Avenue East,+263779763666,http://changthai.co.zw/,,,,,,-17.794248,31.0678594
Chang Thai,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.7942619,31.0677552
Changamire Sports Bar,,Bar,Harare,Zimbabwe,Budiriro,,,,,,,,-17.8893081,30.9525073
Cheers sports bar,,Bar,Harare,Zimbabwe,,,,,,,,,-17.7896138,30.9988105
Chesa Nyama,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8297388,31.051138
Chicken Hut,,Cafe,Harare,Zimbabwe,,,,,,,,,-17.8283254,31.0476139
Chicken Hut,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8003216,31.0347202
Chicken Inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.794038,31.0443512
Chicken inn,,"pizza, burger",Harare,Zimbabwe,,,,,,,,"cuisine=pizza;burger, takeaway=yes, delivery=yes",-17.8926047,30.9903915
Chicken Inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8364435,31.0433982
Chicken Inn,,Fast Food,Harare,Zimbabwe,Speke Avenue,,,,,,,,-17.8323115,31.0478587
Chicken Inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.7761977,31.0121023
Chicken Inn,,Fast Food,Harare,Zimbabwe,Albion Street,,,,,,,,-17.8331762,31.0427756
Chicken Inn,,chicken,Harare,Zimbabwe,,,,,,,,cuisine=chicken,-17.8206376,31.075835
Chicken Inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8180543,31.0478449
Chicken inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8292559,31.0439673
Chicken inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8015571,31.0364957
Chicken inn,,Cafe,Harare,Zimbabwe,,,,,,,,,-17.8016182,31.0365388
Chicken Inn,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8419306,31.0707962
Chicken Inn,,chicken,Harare,Zimbabwe,,,,,,,,cuisine=chicken,-17.8365376,31.0435557
Chicken inn drive through,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8014946,31.0364803
Chicken Inn Msasa,,chicken,Harare,Zimbabwe,,,,,,,,cuisine=chicken,-17.8387498,31.1140126
Chicken Inn Pizza Inn Bakers Inn,,Fast Food,Harare,Zimbabwe,CBD,,,,,,,,-17.8245693,31.055448
"Chicken Inn, Bakers Inn, Creamy Inn and Pizza Inn",,"pizza,_burger,_chicken",Harare,Zimbabwe,First Street,,,,,,,"cuisine=pizza,_burger,_chicken",-17.8286025,31.0491183
"Chicken Inn, Steers",,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8244339,31.0552653
Chicken Slice,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8301336,31.0480486
Chicken Slice,,"pizza, ice_cream, burger, coffee_shop, chicken, fish, hot_dog, cake, salad, chocolate, donut",Harare,Zimbabwe,,,,,,,,"cuisine=pizza;ice_cream;burger;coffee_shop;chicken;fish;hot_dog;cake;salad;chocolate;donut, takeaway=yes",-17.8362685,31.0424528
Chicken Slice,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8321958,31.0427179
Chicken Slice,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8295646,31.0428275
Chicken Slice,,Fast Food,Harare,Zimbabwe,Seventh Street,,,,,,,,-17.8245605,31.0588944
Chicken Slice,,chicken,Harare,Zimbabwe,Seventh Street,,,,,,,cuisine=chicken,-17.8248219,31.058944
Chicken Slice,,chicken,Harare,Zimbabwe,Mbuya Nehanda Street,,,,,,,cuisine=chicken,-17.8361851,31.0426983
Chicken Slice,,chicken,Harare,Zimbabwe,Angwa Street CBD,,,,,,,cuisine=chicken,-17.8300121,31.048007
Chicken Slice Drive Through,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.807076,31.0403215
China Garden,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8162666,31.0342622
Chisipiti Sports Bar,,Bar,Epworth,Zimbabwe,3026,,,,,,,,-17.9061557,31.1456276
Chop Chop,,grill,Harare,Zimbabwe,Herbert Chitepo Avenue,08677160879,https://chopchop.co.zw/,,,,,cuisine=grill,-17.8202738,31.0541947
Chop Chop Grill House,,"grill, beef",Harare,Zimbabwe,Herbert Chitepo Avenue,,,,,,,cuisine=grill;beef,-17.8200846,31.0541857
Circolo de Italia,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.7815635,31.1201958
Club CB,,Bar,Harare,Zimbabwe,10056 Musika Street,,,,,,,,-17.8048609,30.9315145
Club Joy Centre,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8925814,30.9921944
coffee guru,,Cafe,Harare,Zimbabwe,1 Duthie Road,,,,,,,,-17.7966191,31.0457648
Coffee shop,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8003342,31.0347934
Coimbra Restaurant,,portuguese,Harare,Zimbabwe,61 Selous Avenue,+263 24 2700237,https://www.facebook.com/coimbraharare/,,,,,cuisine=portuguese,-17.8222887,31.0576025
Corky's Irish Pub & Grill,,irish,Harare,Zimbabwe,,,,,,,,"cuisine=irish, outdoor_seating=yes",-17.7727458,31.1014412
Cottage Bites,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.7599879,31.0880289
DELIcious,,Restaurant,Harare,Zimbabwe,Borowdale Village,,https://delicious.co.zw/,,,,,,-17.7610059,31.0875302
Desert Oasis,,Restaurant,Harare,Zimbabwe,25 Bath Road,,,,,,,,-17.8023189,31.0406643
Duriro,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8427384,31.0316399
Duriro Restaurant,,Bar,Harare,Zimbabwe,Coventry Road,,,,,,,,-17.8435434,31.0318727
DV8,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8059406,31.1260886
dz sports bar,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8053161,30.9316117
Eastgate Fantasy Land,,Fast Food,Harare,Zimbabwe,,,,,,,,,-17.8339452,31.0516663
Eat and Lick,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8321606,31.0504064
Elephant and Pineapple,,Restaurant,Harare,Zimbabwe,,,,,,,,,-17.8116085,31.078525
Fish Inn,,Cafe,Harare,Zimbabwe,Julius Nyerere Way,,,,,,,,-17.8291411,31.0472287
Fishmonger,,Restaurant,Harare,Zimbabwe,197 Enterprise Road,,,,,,,,-17.7816494,31.1199571
Freshly Ground,,Cafe,Harare,Zimbabwe,,,,,,,,,-17.7596115,31.0903666
Gabys,,Bar,Harare,Zimbabwe,,,,,,,,,-17.8167136,31.0458605
Garfunkels Grill,,"barbecue, breakfast, burger, chicken, fish, grill, ice_cream",Harare,Zimbabwe,Borowdale Village,+2637765087020,,,,,,cuisine=barbecue;breakfast;burger;chicken;fish;grill;ice_cream,-17.7605267,31.0873199
